Gene_ID,Gene_Name,zygote,cleavage_2_cell,blastula_128_cell,blastula_1k_cell,blastula_dome,gastrula_50__epiboly,gastrula_shield,gastrula_75__epiboly,segmentation_1_4_somites,segmentation_14_19_somites,segmentation_20_25_somites,pharyngula_prim_5,pharyngula_prim_15,pharyngula_prim_25,hatching_long_pec,larval_protruding_mouth,larval_day_4,larval_day_5
ENSDARG00000074221,ABCA7,3,3,1,1,0.5,0.2,0.1,0.2,0.2,0.4,0.4,0.1,0.3,0.3,0.5,2,3,3
ENSDARG00000059587,ABR,2,5,12,11,7,3,1,0.5,2,1,3,4,4,5,7,6,6,6
ENSDARG00000056478,ACAP2,NA,NA,NA,NA,NA,NA,NA,0.1,0.6,0.5,0.9,1,1,3,4,4,5,4
ENSDARG00000024602,ACBD3,6,4,4,4,14,35,29,29,13,5,5,5,4,2,3,4,4,3
ENSDARG00000054534,ACOT12,0.2,0.5,2,2,2,2,1,2,2,3,2,0.9,1,0.9,0.6,0.8,2,3
ENSDARG00000059503,ACSF3,21,24,17,18,7,0.9,0.6,0.2,2,2,2,2,2,2,1,2,4,3
ENSDARG00000057911,ACTC1,0.3,NA,NA,NA,NA,NA,NA,NA,5,13,34,41,67,22,51,58,33,21
ENSDARG00000086172,ACVR1C,NA,0.1,0.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.6,1
ENSDARG00000116062,ADAM12,NA,0.2,1,0.4,0.9,0.2,NA,NA,NA,NA,0.2,0.3,0.4,NA,NA,0.5,0.3,0.3
ENSDARG00000102478,ADAMTS7,NA,NA,NA,NA,NA,NA,0.1,NA,0.5,0.5,1,1,1,1,0.9,0.8,1,0.4
ENSDARG00000090624,ADGRL3,NA,0.4,NA,0.6,NA,NA,NA,NA,0.4,0.6,1,0.8,1,2,3,5,5,5
ENSDARG00000035573,AK6,3,8,11,14,15,31,28,33,33,32,27,19,15,12,11,15,17,15
ENSDARG00000095161,AL590134.1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.6,NA,NA,0.6,NA,0.6,NA,NA
ENSDARG00000095368,AL590146.1,NA,2,NA,3,2,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
